query_id,ref_id,corpus,audio_path,offset_sec,length_sec,seed,section_type,section_label,section_start,section_end,section_duration
hindustani_ab_106_Raag_Gavti_s002_composed,hindustani_106_Raag_Gavti,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_106_Raag_Gavti_s002_composed.wav,1464.079,10.0,2121309352,composed,Khyāl (dr̥t tīntāl)-3,1292.968,1645.558,352.59
hindustani_ab_107_Raag_Shree_s000_alaap,hindustani_107_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_107_Raag_Shree_s000_alaap.wav,123.669,10.0,1504704869,alaap,Ālāp-1,0.0,256.65,256.65
hindustani_ab_107_Raag_Shree_s001_composed,hindustani_107_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_107_Raag_Shree_s001_composed.wav,1398.818,10.0,190735635,composed,Khyāl (vilambit ēktāl)-2,256.65,2550.468,2293.818
hindustani_ab_107_Raag_Shree_s002_composed,hindustani_107_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_107_Raag_Shree_s002_composed.wav,2889.984,10.0,402264712,composed,Khyāl (madhya jhaptāl)-3,2550.468,3238.835,688.367
hindustani_ab_107_Raag_Shree_s003_composed,hindustani_107_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_107_Raag_Shree_s003_composed.wav,3524.353,10.0,1342038582,composed,Khyāl (dr̥t tīntāl)-4,3238.835,3819.442,580.607
hindustani_ab_18_Raag_Bhairav_s000_alaap,hindustani_18_Raag_Bhairav,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_18_Raag_Bhairav_s000_alaap.wav,47.413,10.0,3724220224,alaap,Ālāp-1,0.0,104.963,104.963
hindustani_ab_18_Raag_Bhairav_s001_composed,hindustani_18_Raag_Bhairav,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_18_Raag_Bhairav_s001_composed.wav,587.433,10.0,1897197472,composed,Khyāl (madhya jhaptāl)-2,104.963,1079.89,974.927
hindustani_ab_18_Raag_Bhairav_s002_composed,hindustani_18_Raag_Bhairav,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_18_Raag_Bhairav_s002_composed.wav,1264.238,10.0,3648441108,composed,Khyāl (dr̥t ēktāl)-3,1079.89,1457.633,377.743
hindustani_ab_19_Raag_Dhani_s000_composed,hindustani_19_Raag_Dhani,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_19_Raag_Dhani_s000_composed.wav,1018.928,10.0,3046714710,composed,Khyāl (madhya ikvāi)-1,0.18,2048.627,2048.447
hindustani_ab_1_Nirgun_Bhajan_s000_composed,hindustani_1_Nirgun_Bhajan,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_1_Nirgun_Bhajan_s000_composed.wav,393.889,10.0,3509008345,composed,Bhajan (kēharvā)-1,9.009,787.827,778.818
hindustani_ab_23_Raag_Mian_Malhar_s000_alaap,hindustani_23_Raag_Mian_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_23_Raag_Mian_Malhar_s000_alaap.wav,104.273,10.0,2910312230,alaap,Ālāp-1,0.0,218.128,218.128
hindustani_ab_23_Raag_Mian_Malhar_s001_composed,hindustani_23_Raag_Mian_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_23_Raag_Mian_Malhar_s001_composed.wav,1534.615,10.0,3063371073,composed,Khyāl (vilambit ēktāl)-2,218.128,2861.372,2643.244
hindustani_ab_23_Raag_Mian_Malhar_s002_composed,hindustani_23_Raag_Mian_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_23_Raag_Mian_Malhar_s002_composed.wav,3391.364,10.0,3637982652,composed,Khyāl (dr̥t tīntāl)-3,2861.372,3935.503,1074.13
hindustani_ab_24_Raag_Ramdasi_Malhar_s000_alaap,hindustani_24_Raag_Ramdasi_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_24_Raag_Ramdasi_Malhar_s000_alaap.wav,22.982,10.0,2149185595,alaap,Ālāp-1,0.0,55.589,55.589
hindustani_ab_24_Raag_Ramdasi_Malhar_s001_composed,hindustani_24_Raag_Ramdasi_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_24_Raag_Ramdasi_Malhar_s001_composed.wav,219.52,10.0,65555961,composed,Khyāl (madhya tīntāl)-2,55.589,394.122,338.533
hindustani_ab_24_Raag_Ramdasi_Malhar_s002_composed,hindustani_24_Raag_Ramdasi_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_24_Raag_Ramdasi_Malhar_s002_composed.wav,539.709,10.0,2206790641,composed,Khyāl (dr̥t tīntāl)-3,394.122,696.113,301.991
hindustani_ab_25_Raag_Marwa_s000_alaap,hindustani_25_Raag_Marwa,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_25_Raag_Marwa_s000_alaap.wav,194.826,10.0,2659500570,alaap,Ālāp-1,0.0,399.859,399.859
hindustani_ab_25_Raag_Marwa_s001_composed,hindustani_25_Raag_Marwa,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_25_Raag_Marwa_s001_composed.wav,983.703,10.0,1585262702,composed,Khyāl (vilambit tilavāḍā)-2,399.859,1577.771,1177.912
hindustani_ab_25_Raag_Marwa_s002_composed,hindustani_25_Raag_Marwa,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_25_Raag_Marwa_s002_composed.wav,1752.767,10.0,714404686,composed,Khyāl (madhya tīntāl)-3,1577.771,1937.816,360.045
hindustani_ab_26_Raag_Shree_s000_alaap,hindustani_26_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_26_Raag_Shree_s000_alaap.wav,179.534,10.0,3746891321,alaap,Ālāp-1,0.0,370.024,370.024
hindustani_ab_26_Raag_Shree_s001_composed,hindustani_26_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_26_Raag_Shree_s001_composed.wav,1052.043,10.0,2163529875,composed,Khyāl (vilambit tilavāḍā)-2,370.024,1743.298,1373.274
hindustani_ab_26_Raag_Shree_s002_composed,hindustani_26_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_26_Raag_Shree_s002_composed.wav,1992.285,10.0,1223572257,composed,Khyāl (madhya tīntāl)-3,1743.298,2250.344,507.046
hindustani_ab_27_Raag_Bihag_s000_alaap,hindustani_27_Raag_Bihag,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_27_Raag_Bihag_s000_alaap.wav,148.196,10.0,163431085,alaap,Ālāp-1,0.0,306.968,306.968
hindustani_ab_27_Raag_Bihag_s001_composed,hindustani_27_Raag_Bihag,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_27_Raag_Bihag_s001_composed.wav,1541.329,10.0,1841281471,composed,Khyāl (vilambit ēktāl)-2,306.968,2785.029,2478.061
hindustani_ab_27_Raag_Bihag_s002_composed,hindustani_27_Raag_Bihag,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_27_Raag_Bihag_s002_composed.wav,3069.55,10.0,2657757961,composed,Khyāl (madhya jhaptāl)-3,2785.029,3364.56,579.531
hindustani_ab_27_Raag_Bihag_s003_composed,hindustani_27_Raag_Bihag,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_27_Raag_Bihag_s003_composed.wav,3647.812,10.0,1369444975,composed,Khyāl (dr̥t tīntāl)-4,3364.56,3970.351,605.791
hindustani_ab_28_Raag_Mian_Malhar_s000_alaap,hindustani_28_Raag_Mian_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_28_Raag_Mian_Malhar_s000_alaap.wav,115.038,10.0,3023829686,alaap,Ālāp-1,0.0,240.114,240.114
hindustani_ab_28_Raag_Mian_Malhar_s001_composed,hindustani_28_Raag_Mian_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_28_Raag_Mian_Malhar_s001_composed.wav,1013.771,10.0,1926111238,composed,Khyāl (vilambit ēktāl)-2,240.114,1798.139,1558.025
hindustani_ab_28_Raag_Mian_Malhar_s002_composed,hindustani_28_Raag_Mian_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_28_Raag_Mian_Malhar_s002_composed.wav,2054.231,10.0,3983283565,composed,Khyāl (madhya ēktāl)-3,1798.139,2319.445,521.306
hindustani_ab_28_Raag_Mian_Malhar_s003_composed,hindustani_28_Raag_Mian_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_28_Raag_Mian_Malhar_s003_composed.wav,2578.789,10.0,2770001226,composed,Khyāl (dr̥t ēktāl)-4,2319.445,2848.026,528.581
hindustani_ab_29_Raag_Ramdasi_Malhar_s000_alaap,hindustani_29_Raag_Ramdasi_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_29_Raag_Ramdasi_Malhar_s000_alaap.wav,39.121,10.0,2238151955,alaap,Ālāp-1,0.0,89.188,89.188
hindustani_ab_29_Raag_Ramdasi_Malhar_s001_composed,hindustani_29_Raag_Ramdasi_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_29_Raag_Ramdasi_Malhar_s001_composed.wav,281.139,10.0,687848989,composed,Khyāl (madhya tīntāl)-2,89.188,484.016,394.828
hindustani_ab_29_Raag_Ramdasi_Malhar_s002_composed,hindustani_29_Raag_Ramdasi_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_29_Raag_Ramdasi_Malhar_s002_composed.wav,574.636,10.0,3449330662,composed,Khyāl (dr̥t tīntāl)-3,484.016,674.529,190.513
hindustani_ab_2_Raag_Lagan_Gandhar_s000_alaap,hindustani_2_Raag_Lagan_Gandhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_2_Raag_Lagan_Gandhar_s000_alaap.wav,14.577,10.0,779183276,alaap,Ālāp-1,0.0,38.531,38.531
hindustani_ab_2_Raag_Lagan_Gandhar_s001_composed,hindustani_2_Raag_Lagan_Gandhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_2_Raag_Lagan_Gandhar_s001_composed.wav,1242.728,10.0,2031524070,composed,Khyāl (vilambit ēktāl)-1,38.531,2456.358,2417.827
hindustani_ab_2_Raag_Lagan_Gandhar_s002_composed,hindustani_2_Raag_Lagan_Gandhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_2_Raag_Lagan_Gandhar_s002_composed.wav,2699.796,10.0,3538099121,composed,Khyāl (dr̥t tīntāl)-1,2456.358,2953.9,497.542
hindustani_ab_30_Raag_Bahar_s000_alaap,hindustani_30_Raag_Bahar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_30_Raag_Bahar_s000_alaap.wav,103.875,10.0,2152620451,alaap,Ālāp-1,0.0,217.852,217.852
hindustani_ab_30_Raag_Bahar_s001_composed,hindustani_30_Raag_Bahar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_30_Raag_Bahar_s001_composed.wav,718.109,10.0,1578083094,composed,Khyāl (vilambit tilavāḍā)-2,217.852,1228.494,1010.642
hindustani_ab_30_Raag_Bahar_s002_composed,hindustani_30_Raag_Bahar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_30_Raag_Bahar_s002_composed.wav,1355.94,10.0,3253305582,composed,Khyāl (dr̥t tīntāl)-3,1228.494,1492.997,264.503
hindustani_ab_30_Raag_Bahar_s003_composed,hindustani_30_Raag_Bahar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_30_Raag_Bahar_s003_composed.wav,1576.963,10.0,3699251531,composed,Khyāl (dr̥t ēktāl)-4,1492.997,1670.191,177.194
hindustani_ab_31_Raag_Yaman_s000_alaap,hindustani_31_Raag_Yaman,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_31_Raag_Yaman_s000_alaap.wav,53.408,10.0,1728098154,alaap,Ālāp-1,0.0,115.955,115.955
hindustani_ab_31_Raag_Yaman_s001_composed,hindustani_31_Raag_Yaman,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_31_Raag_Yaman_s001_composed.wav,593.741,10.0,3096200470,composed,Khyāl (madhya tīntāl)-2,115.955,1081.678,965.723
hindustani_ab_32_Raag_Gaud_Malhar_s000_alaap,hindustani_32_Raag_Gaud_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_32_Raag_Gaud_Malhar_s000_alaap.wav,47.39,10.0,3216877568,alaap,Ālāp-1,0.0,105.352,105.352
hindustani_ab_32_Raag_Gaud_Malhar_s001_composed,hindustani_32_Raag_Gaud_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_32_Raag_Gaud_Malhar_s001_composed.wav,645.814,10.0,3463857488,composed,Khyāl (vilambit tilavāḍā)-2,105.352,1195.955,1090.603
hindustani_ab_32_Raag_Gaud_Malhar_s002_composed,hindustani_32_Raag_Gaud_Malhar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_32_Raag_Gaud_Malhar_s002_composed.wav,1370.315,10.0,3027404242,composed,Khyāl (dr̥t tīntāl)-3,1195.955,1555.096,359.141
hindustani_ab_33_Raag_Lalit_s000_alaap,hindustani_33_Raag_Lalit,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_33_Raag_Lalit_s000_alaap.wav,252.376,10.0,2521331862,alaap,Ālāp-1,0.0,514.461,514.461
hindustani_ab_33_Raag_Lalit_s001_composed,hindustani_33_Raag_Lalit,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_33_Raag_Lalit_s001_composed.wav,1354.186,10.0,4173763073,composed,Khyāl (vilambit jhaptāl)-2,514.461,2202.964,1688.503
hindustani_ab_33_Raag_Lalit_s002_composed,hindustani_33_Raag_Lalit,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_33_Raag_Lalit_s002_composed.wav,2319.251,10.0,3147682055,composed,Tarānā (dr̥t tīntāl)-3,2202.964,2445.401,242.437
hindustani_ab_34_Raag_Bibhas_s000_alaap,hindustani_34_Raag_Bibhas,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_34_Raag_Bibhas_s000_alaap.wav,64.458,10.0,2732475714,alaap,Ālāp-1,0.0,139.38,139.38
hindustani_ab_34_Raag_Bibhas_s001_composed,hindustani_34_Raag_Bibhas,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_34_Raag_Bibhas_s001_composed.wav,489.803,10.0,185682786,composed,Khyāl (madhya tīntāl)-2,139.38,849.554,710.174
hindustani_ab_38_Raag_Multani_s000_alaap,hindustani_38_Raag_Multani,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_38_Raag_Multani_s000_alaap.wav,222.12,10.0,1608020865,alaap,Ālāp-1,0.0,453.943,453.943
hindustani_ab_38_Raag_Multani_s001_composed,hindustani_38_Raag_Multani,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_38_Raag_Multani_s001_composed.wav,1225.903,10.0,3758852022,composed,Khyāl (vilambit tīntāl)-2,453.943,2008.05,1554.107
hindustani_ab_38_Raag_Multani_s002_composed,hindustani_38_Raag_Multani,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_38_Raag_Multani_s002_composed.wav,2262.529,10.0,2373579308,composed,Khyāl (dr̥t tīntāl)-3,2008.05,2527.504,519.454
hindustani_ab_39_Raag_Bhimpalasi_s000_alaap,hindustani_39_Raag_Bhimpalasi,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_39_Raag_Bhimpalasi_s000_alaap.wav,123.672,10.0,1585556353,alaap,Ālāp-1,0.0,257.463,257.463
hindustani_ab_39_Raag_Bhimpalasi_s001_composed,hindustani_39_Raag_Bhimpalasi,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_39_Raag_Bhimpalasi_s001_composed.wav,801.725,10.0,2497378015,composed,Khyāl (madhya jhaptāl)-2,257.463,1356.653,1099.19
hindustani_ab_39_Raag_Bhimpalasi_s002_composed,hindustani_39_Raag_Bhimpalasi,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_39_Raag_Bhimpalasi_s002_composed.wav,1481.996,10.0,104139798,composed,Khyāl (dr̥t tīntāl)-3,1356.653,1617.946,261.293
hindustani_ab_3_Raag_Dhani_s000_alaap,hindustani_3_Raag_Dhani,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_3_Raag_Dhani_s000_alaap.wav,20.891,10.0,2511486826,alaap,Ālāp-1,0.0,51.003,51.003
hindustani_ab_3_Raag_Dhani_s001_composed,hindustani_3_Raag_Dhani,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_3_Raag_Dhani_s001_composed.wav,303.264,10.0,1647436437,composed,Khyāl (madhya tīntāl)-2,51.003,565.388,514.385
hindustani_ab_3_Raag_Dhani_s002_composed,hindustani_3_Raag_Dhani,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_3_Raag_Dhani_s002_composed.wav,702.281,10.0,1878891913,composed,Khyāl (dr̥t ēktāl)-3,565.388,883.87,318.482
hindustani_ab_42_Raag_Bhatiyar_s000_alaap,hindustani_42_Raag_Bhatiyar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_42_Raag_Bhatiyar_s000_alaap.wav,72.738,10.0,4149668459,alaap,Ālāp-1,0.0,155.714,155.714
hindustani_ab_42_Raag_Bhatiyar_s001_composed,hindustani_42_Raag_Bhatiyar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_42_Raag_Bhatiyar_s001_composed.wav,666.251,10.0,512542326,composed,Khyāl (vilambit ēktāl)-2,155.714,1186.157,1030.443
hindustani_ab_42_Raag_Bhatiyar_s002_composed,hindustani_42_Raag_Bhatiyar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_42_Raag_Bhatiyar_s002_composed.wav,1444.151,10.0,3384545793,composed,Khyāl (madhya jhaptāl)-3,1186.157,1712.698,526.541
hindustani_ab_42_Raag_Bhatiyar_s003_composed,hindustani_42_Raag_Bhatiyar,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_42_Raag_Bhatiyar_s003_composed.wav,1990.867,10.0,805127776,composed,Khyāl (dr̥t ēktāl)-4,1712.698,2278.975,566.277
